Name,Source,Page,Level,Casting Time,Duration,School,Range,Components,Classes,Optional/Variant Classes,Subclasses,Text,At Higher Levels
Animate Dead,PHB'24,240,3rd,1 Min.,Instantaneous,Necromancy,10 feet,"V, S, M (a drop of blood, a piece of flesh, and a pinch of bone dust)","Cleric (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Spores (TCE) Druid, Spores (TCE) Druid, Lore (PHB'24) Bard, Death (DMG'14) Cleric, Death (DMG'14) Cleric, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin","Choose a pile of bones or a corpse of a Medium or Small Humanoid within range. The target becomes an Undead creature: a Skeleton if you chose bones or a Zombie if you chose a corpse.On each of your turns, you can take a Bonus Action to mentally command any creature you made with this spell if the creature is within 60 feet of you (if you control multiple creatures, you can command any of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move on its next turn, or you can issue a general command, such as to guard a chamber or corridor. If you issue no commands, the creature takes the Dodge action and moves only to avoid harm. Once given an order, the creature continues to follow it until its task is complete.The creature is under your control for 24 hours, after which it stops obeying any command you've given it. To maintain control of the creature for another 24 hours, you must cast this spell on the creature again before the current 24-hour period ends. This use of the spell reasserts your control over up to four creatures you have animated with this spell rather than animating a new creature.",Using a Higher-Level Spell Slot. You animate or reassert control over two additional Undead creatures for each spell slot level above 3. Each of the creatures must come from a different corpse or pile of bones.
Antagonize,BMT,50,3rd,Action,Instantaneous,Enchantment,30 feet,"V, S, M (a playing card depicting a rogue)",,"Bard (PHB'14), Bard (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Warlock (PHB'14), Warlock (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","You whisper magical words that antagonize one creature of your choice within range. The target must make a Wisdom saving throw. On a failed save, the target takes 4d4 psychic damage and must immediately use its reaction to make a melee attack against another creature of your choice that you can see. If the target can't make this attack (for example, because there is no one within its reach or because its reaction is unavailable), the target instead has disadvantage on the next attack roll it makes before the start of your next turn. On a successful save, the target takes half as much damage only.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, the damage increases by 1d4 for each slot level above 3rd."
Ashardalon's Stride,FTD,19,3rd,Bonus,"Concentration, up to 1 minute",Transmutation,Self,"V, S",,"Artificer (TCE), Ranger (PHB'14), Ranger (PHB'24), Sorcerer (PHB'14), Sorcerer (PHB'24), Wizard (PHB'14), Wizard (PHB'24)","Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter","The billowing flames of a dragon blast from your feet, granting you explosive speed. For the duration, your speed increases by 20 feet and moving doesn't provoke opportunity attacks.When you move within 5 feet of a creature or an object that isn't being worn or carried, it takes 1d6 fire damage from your trail of heat. A creature or object can take this damage only once during a turn.","At Higher Levels. When you cast this spell using a spell slot of 4th level or higher, increase your speed by 5 feet for each spell slot level above 3rd. The spell deals an additional 1d6 fire damage for each slot level above 3rd."
Aura of Vitality,PHB'24,244,3rd,Action,"Concentration, up to 1 minute",Abjuration,Self,V,"Cleric (PHB'24), Druid (PHB'24), Paladin (PHB'24)",,"Battle Smith (TCE) Artificer, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Crown (SCAG) Paladin, Crown (SCAG) Paladin, Twilight (TCE) Cleric, Twilight (TCE) Cleric","An aura radiates from you in a 30-foot Emanation for the duration. When you create the aura and at the start of each of your turns while it persists, you can restore 2d6 Hit Points to one creature in it.",
Beacon of Hope,PHB'24,245,3rd,Action,"Concentration, up to 1 minute",Abjuration,30 feet,"V, S",Cleric (PHB'24),,"Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Life (PHB'14) Cleric, Devotion (PHB'24) Paladin, Devotion (PHB'14) Paladin, Peace (TCE) Cleric, Peace (TCE) Cleric, Solidarity (PSA) (PSA) Cleric, Solidarity (PSA) (PSA) Cleric","Choose any number of creatures within range. For the duration, each target has Advantage on Wisdom saving throws and Death Saving Throws and regains the maximum number of Hit Points possible from any healing.",
Bestow Curse,PHB'24,246,3rd,Action,"Concentration, up to 1 minute",Necromancy,Touch,"V, S","Bard (PHB'24), Cleric (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Conquest (XGE) Paladin, Conquest (XGE) Paladin, Oathbreaker (DMG'14) Paladin, Oathbreaker (DMG'14) Paladin, Ambition (PSA) (PSA) Cleric, Ambition (PSA) (PSA) Cleric","You touch a creature, which must succeed on a Wisdom saving throw or become cursed for the duration. Until the curse ends, the target suffers one of the following effects of your choice:Choose one ability. The target has Disadvantage on ability checks and saving throws made with that ability.The target has Disadvantage on attack rolls against you.In combat, the target must succeed on a Wisdom saving throw at the start of each of its turns or be forced to take the Dodge action on that turn.If you deal damage to the target with an attack roll or a spell, the target takes an extra 1d8 Necrotic damage.","Using a Higher-Level Spell Slot. If you cast this spell using a level 4 spell slot, you can maintain Concentration on it for up to 10 minutes. If you use a level 5+ spell slot, the spell doesn't require Concentration, and the duration becomes 8 hours (level 5-6 slot) or 24 hours (level 7-8 slot). If you use a level 9 spell slot, the spell lasts until dispelled."
Blinding Smite,PHB'24,247,3rd,Bonus,1 minute,Evocation,Self,V,Paladin (PHB'24),,,"The target hit by the strike takes an extra 3d8 Radiant damage from the attack, and the target has the Blinded condition until the spell ends. At the end of each of its turns, the Blinded target makes a Constitution saving throw, ending the spell on itself on a success.",Using a Higher-Level Spell Slot. The extra damage increases by 1d8 for each spell slot level above 3.
Blink,PHB'24,248,3rd,Action,1 minute,Transmutation,Self,"V, S","Artificer (TCE), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'24) Rogue, Arcane Trickster (PHB'14) Rogue, Archfey (PHB'24) Warlock, Lore (PHB'24) Bard, Eldritch Knight (PHB'24) Fighter, Eldritch Knight (PHB'14) Fighter, Archfey (PHB'14) Warlock, Hexblade (XGE) Warlock, Hexblade (XGE) Warlock, Trickery (PHB'14) Cleric","Roll 1d6 at the end of each of your turns for the duration. On a roll of 4-6, you vanish from your current plane of existence and appear in the Ethereal Plane (the spell ends instantly if you are already on that plane). While on the Ethereal Plane, you can perceive the plane you left, which is cast in shades of gray, but you can't see anything there more than 60 feet away. You can affect and be affected only by other creatures on the Ethereal Plane, and creatures on the other plane can't perceive you unless they have a special ability that lets them perceive things on the Ethereal Plane.You return to the other plane at the start of your next turn and when the spell ends if you are on the Ethereal Plane. You return to an unoccupied space of your choice that you can see within 10 feet of the space you left. If no unoccupied space is available within that range, you appear in the nearest unoccupied space.",
Call Lightning,PHB'24,248,3rd,Action,"Concentration, up to 10 minutes",Conjuration,120 feet,"V, S",Druid (PHB'24),,"Land (Forest) (PHB'14) Druid, Lore (PHB'24) Bard, Open Sea (TDCSR) Paladin, Open Sea (TDCSR) Paladin, Tempest (PHB'14) Cleric, Tempest (PHB'14) Cleric","A storm cloud appears at a point within range that you can see above yourself. It takes the shape of a Cylinder that is 10 feet tall with a 60-foot radius.When you cast the spell, choose a point you can see under the cloud. A lightning bolt shoots from the cloud to that point. Each creature within 5 feet of that point makes a Dexterity saving throw, taking 3d10 Lightning damage on a failed save or half as much damage on a successful one.Until the spell ends, you can take a Magic action to call down lightning in that way again, targeting the same point or a different one.If you're outdoors in a storm when you cast this spell, the spell gives you control over that storm instead of creating a new one. Under such conditions, the spell's damage increases by 1d10.",Using a Higher-Level Spell Slot. The damage increases by 1d10 for each spell slot level above 3.
Clairvoyance,PHB'24,250,3rd,10 Min.,"Concentration, up to 10 minutes",Divination,1 mile,"V, S, M (a focus worth 100+ GP, either a jeweled horn for hearing or a glass eye for seeing)","Bard (PHB'24), Cleric (PHB'24), Sorcerer (PHB'24), Wizard (PHB'24)",,"Arcane Trickster (PHB'14) Rogue, Arcane Trickster (PHB'24) Rogue, Lore (PHB'24) Bard, Divine Soul (XGE) Sorcerer, Divine Soul (XGE) Sorcerer, Diviner (PHB'24) Wizard, Eldritch Knight (PHB'14) Fighter, Eldritch Knight (PHB'24) Fighter, Great Old One (PHB'24) Warlock, Ancestral Guardian (XGE) Barbarian, Ancestral Guardian (XGE) Barbarian, Great Old One (PHB'14) Warlock","You create an Invisible sensor within range in a location familiar to you (a place you have visited or seen before) or in an obvious location that is unfamiliar to you (such as behind a door, around a corner, or in a grove of trees). The intangible, invulnerable sensor remains in place for the duration.When you cast the spell, choose seeing or hearing. You can use the chosen sense through the sensor as if you were in its space. As a Bonus Action, you can switch between seeing and hearing.A creature that sees the sensor (such as a creature benefiting from See Invisibility or Truesight) sees a luminous orb about the size of your fist.",
